"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEMODEL";"SPICEPREFIX";
"5";"";"LED0603";"CHIPLED_0603";"DET, ENABLE, PWR, READY, STIM";"LED";"";"";"";"";"";"";"";"";
"1";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SJ1";"SMD Solder JUMPER";"EXCLUDE";"";"";"";"";"";"";"";
"1";"";"SWITCH_DPDT";"DPDT_SMT_JS202011SCQN";"SW1";"Switch - DPDT";"";"";"";"";"";"";"";"";
"3";"1.5k";"RR0402";"R0402";"R5, R6, R7";"RESISTOR, European symbol";"";"";"";"";"";"";"NONE";"R";
"3";"100k";"RR0402";"R0402";"R9, R11, R13";"RESISTOR, European symbol";"";"";"";"";"";"";"NONE";"R";
"13";"10k";"RR0402";"R0402";"R1, R2, R3, R4, R8, R10, R12, R14, R15, R16, R23, R24, R25";"RESISTOR, European symbol";"";"";"";"";"";"";"NONE";"R";
"15";"10u";"CC0402";"C0402";"C3, C4, C5, C6, C7, C8, C9, C10, C11, C14, C15, C16, C18, C19, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";"NONE";"C";
"2";"18p";"CC0402";"C0402";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"NONE";"C";
"1";"2.54MM_2X5";"2.54MM_2X5";"2.54MM_2X5";"U$9";"";"";"";"";"";"";"";"";"";
"1";"20k";"RR0402";"R0402";"R17";"RESISTOR, European symbol";"";"";"";"";"";"";"NONE";"R";
"4";"33n";"CC0402";"C0402";"C12, C13, C17, C21";"CAPACITOR, European symbol";"";"";"";"";"";"";"NONE";"C";
"4";"AD8532";"AD8542R";"SO8";"IC1, IC2, IC3, IC4";"General-Purpose CMOS Rail-to-Rail Amplifiers";"";"ALTERA CORPORATION";"AD8542ARZ-REEL";"1424150";"59K6827";"0";"";"";
"6";"BNC_8MM";"BNC_8MM";"BNC_V_8MM";"A_OUT1, A_OUT2, D_OUT, IN1, IN2, IN3";"";"";"";"";"";"";"";"";"";
"1";"C-GRID-03-70543";"C-GRID-03-70543";"70543-03";"X1";"CONNECTOR";"";"MOLEX";"";"unknown";"unknown";"3";"";"";
"1";"CUS-12B";"CUS-12B";"CUS-12B";"U$12";"Toggle Switch";"";"";"";"";"";"";"";"";
"1";"DNP";"EEPROM_I2C_SOIC8_GENERIC";"SOIC8_150MIL";"U2";"Note: The same pinout is used for many I2C EEPROMs in SOIC8(150mil) from a variety of manufacturers and in various sizes.";"";"";"";"";"";"";"";"";
"1";"DNP";"JST_8PIN";"JSTPH8";"CN5";"JST 8-Pin Right-Angle Connector";"";"";"";"";"";"";"";"";
"1";"ECS-120-18-4X-CKM";"XTAL/S";"QS";"Q1";"CRYSTAL";"";"";"";"";"";"";"";"";
"12";"MMSZ4684T1GOSCT-ND";"DIODE_ZENER_SOD-123";"SOD-123";"D2, D3, D4, D6, D7, D8, D9, D10, D11, D12, D13, D14";"Zener diode";"";"";"";"";"";"";"";"";
"1";"STM32F373CCT6";"STM32F373CCT6";"LQFP48";"U$1";"";"";"";"";"";"";"";"";"";
"1";"TERMINAL_BLOCK_8-3.5MM";"TERMINAL_BLOCK_8-3.5MM";"TERMINAL_BLOCK_3.5MM_8";"S1";"8-point terminal block";"";"";"";"";"";"";"";"";
"2";"TESTPOINT";"TESTPOINT";"TESTPOINT";"VCC, VMID";"";"";"";"";"";"";"";"";"";
"1";"TPS79333";"TPS79333";"TSOT-23-5";"U1";"";"";"";"";"";"";"";"";"";
"1";"ZX62R-B-5P(30)";"MICRO-USB-ZX62R-B-5P";"ZX62R-B-5P";"U$10";"Hirose Micro USB Connector";"";"";"";"";"";"";"";"";
